Date,Symbol,Open,High,Low,Close,Volume,Currency
2000-01-03,XOM,39.75,40.38,38.94,39.16,13458200,USD
2000-01-04,XOM,38.69,39.09,38.25,38.41,14510800,USD
2000-01-05,XOM,39.0,40.88,38.91,40.5,17485000,USD
2000-01-06,XOM,40.31,42.91,40.09,42.59,19462000,USD
2000-01-07,XOM,42.97,43.12,42.0,42.47,16603800,USD
2000-01-10,XOM,42.09,42.31,41.78,41.88,8545400,USD
2000-01-11,XOM,41.88,42.62,41.81,42.0,8731600,USD
2000-01-12,XOM,41.62,42.19,41.41,41.75,10314400,USD
2000-01-13,XOM,41.75,43.0,41.56,42.72,12056000,USD
2000-01-14,XOM,42.75,42.75,41.5,41.88,11268800,USD
2000-01-18,XOM,41.38,42.75,41.19,42.38,11929400,USD
2000-01-19,XOM,42.12,42.94,41.84,42.78,13088800,USD
2000-01-20,XOM,42.59,42.62,41.34,41.84,9613400,USD
2000-01-21,XOM,42.0,42.59,41.66,42.5,14343600,USD
2000-01-24,XOM,42.72,43.16,41.5,42.12,12459400,USD
2000-01-25,XOM,42.0,43.06,41.91,42.03,11921600,USD
2000-01-26,XOM,42.03,42.28,41.34,41.75,9298000,USD
2000-01-27,XOM,41.66,41.66,39.88,40.5,10548400,USD
2000-01-28,XOM,40.0,40.5,39.44,39.44,10361000,USD
2000-01-31,XOM,39.31,41.78,38.94,41.44,14612200,USD
2000-02-01,XOM,41.66,41.72,40.69,41.59,10665400,USD
2000-02-02,XOM,41.62,42.44,41.62,41.91,11562800,USD
2000-02-03,XOM,41.72,42.0,40.03,41.19,11610800,USD
2000-02-04,XOM,41.75,41.75,40.03,40.44,11436200,USD
2000-02-07,XOM,39.75,40.62,39.75,40.38,7101200,USD
2000-02-08,XOM,40.5,40.94,39.34,39.47,9372000,USD
2000-02-09,XOM,38.38,38.66,38.0,38.12,12408200,USD
2000-02-10,XOM,38.12,38.84,37.66,37.94,13475600,USD
2000-02-11,XOM,38.0,38.34,36.34,36.94,12465800,USD
2000-02-14,XOM,37.25,38.47,37.22,38.22,9753600,USD
2000-02-15,XOM,38.88,40.28,38.72,39.66,10783600,USD
2000-02-16,XOM,39.5,40.19,39.19,40.0,10264200,USD
2000-02-17,XOM,39.5,39.5,38.66,38.94,11678400,USD
2000-02-18,XOM,38.66,38.69,37.5,37.5,13800600,USD
2000-02-22,XOM,38.12,38.47,37.25,37.72,10854800,USD
2000-02-23,XOM,37.06,37.91,36.56,37.31,8881600,USD
2000-02-24,XOM,36.34,36.72,35.75,36.41,10786400,USD
2000-02-25,XOM,36.28,37.19,35.0,35.53,11800600,USD
2000-02-28,XOM,35.5,37.66,34.94,36.75,11875200,USD
2000-02-29,XOM,36.75,37.81,36.47,37.66,10469200,USD
2000-03-01,XOM,37.69,38.12,36.59,38.03,9884600,USD
2000-03-02,XOM,38.0,38.84,37.78,38.5,9802200,USD
2000-03-03,XOM,38.25,38.25,37.12,37.84,10207800,USD
2000-03-06,XOM,37.0,37.5,36.0,36.47,10497400,USD
2000-03-07,XOM,36.06,40.5,36.0,40.0,22811600,USD
2000-03-08,XOM,38.75,41.0,38.75,39.81,19981400,USD
2000-03-09,XOM,39.0,40.28,38.72,40.22,10906200,USD
2000-03-10,XOM,40.0,40.09,38.16,38.52,9430000,USD
2000-03-13,XOM,38.25,38.97,37.19,37.94,9467400,USD
2000-03-14,XOM,37.56,39.0,37.31,38.62,9047600,USD
2000-03-15,XOM,38.59,39.0,37.34,38.88,11879800,USD
2000-03-16,XOM,39.0,39.97,37.94,39.88,11600800,USD
2000-03-17,XOM,39.66,39.84,38.5,38.56,14929200,USD
2000-03-20,XOM,38.09,38.66,37.16,37.44,10685600,USD
2000-03-21,XOM,37.88,38.88,37.81,38.5,10880600,USD
2000-03-22,XOM,38.5,38.5,37.22,37.47,14253200,USD
2000-03-23,XOM,37.31,38.03,37.16,37.75,10115600,USD
2000-03-24,XOM,37.88,38.78,37.81,38.62,8804400,USD
2000-03-27,XOM,38.62,39.09,37.88,38.25,9663000,USD
2000-03-28,XOM,37.81,39.5,37.81,39.5,8269600,USD
2000-03-29,XOM,39.09,40.97,38.88,40.25,20753600,USD
2000-03-30,XOM,40.72,40.91,38.84,39.31,13274200,USD
2000-03-31,XOM,39.44,39.97,38.91,39.0,12599600,USD
2000-04-03,XOM,38.88,40.38,38.84,40.25,9955600,USD
2000-04-04,XOM,39.97,41.44,39.97,41.25,16389200,USD
2000-04-05,XOM,41.0,41.56,39.75,39.88,12436400,USD
2000-04-06,XOM,40.28,41.0,40.03,40.88,8265200,USD
2000-04-07,XOM,40.5,40.69,39.53,39.78,7828800,USD
2000-04-10,XOM,39.5,39.81,39.06,39.12,9092400,USD
2000-04-11,XOM,39.47,40.47,39.34,39.69,10666400,USD
2000-04-12,XOM,40.0,40.75,39.84,39.97,8594800,USD
2000-04-13,XOM,39.97,40.5,39.41,40.0,8909400,USD
2000-04-14,XOM,39.91,40.88,39.0,39.38,11848200,USD
2000-04-17,XOM,39.31,39.69,37.56,37.75,16206400,USD
2000-04-18,XOM,38.0,38.41,37.5,38.09,12060400,USD
2000-04-19,XOM,38.12,39.22,38.0,38.72,12100000,USD
2000-04-20,XOM,38.72,39.5,38.53,39.5,8058000,USD
2000-04-24,XOM,39.31,40.5,38.59,39.94,8909200,USD
2000-04-25,XOM,40.12,40.75,40.06,40.5,11704600,USD
2000-04-26,XOM,40.5,40.5,39.66,40.06,8418000,USD
2000-04-27,XOM,39.81,40.47,39.31,40.34,9662200,USD
2000-04-28,XOM,40.22,40.22,38.84,38.84,9728400,USD
2000-05-01,XOM,39.16,39.53,38.84,39.0,8859400,USD
2000-05-02,XOM,39.09,39.78,39.0,39.12,8087200,USD
2000-05-03,XOM,39.19,39.22,38.5,38.75,7065200,USD
2000-05-04,XOM,39.0,39.84,38.91,39.75,10089400,USD
2000-05-05,XOM,39.38,40.0,39.34,40.0,7078400,USD
2000-05-08,XOM,39.94,40.38,39.69,40.22,7376600,USD
2000-05-09,XOM,40.25,40.44,39.38,39.72,8383600,USD
2000-05-10,XOM,39.84,41.06,39.81,40.75,11366400,USD
2000-05-11,XOM,40.91,41.69,40.75,41.47,10974400,USD
2000-05-12,XOM,41.22,41.34,40.84,41.01,7968600,USD
2000-05-15,XOM,40.97,41.94,40.88,41.81,8905800,USD
2000-05-16,XOM,41.62,41.84,41.12,41.62,8719000,USD
2000-05-17,XOM,41.0,41.25,40.25,40.69,11096200,USD
2000-05-18,XOM,40.75,41.19,40.47,40.72,7159000,USD
2000-05-19,XOM,40.09,41.06,39.97,40.88,8433000,USD
2000-05-22,XOM,41.19,41.97,41.12,41.66,9678000,USD
2000-05-23,XOM,41.72,41.78,40.81,41.5,8577400,USD
2000-05-24,XOM,41.41,41.72,41.03,41.47,9207800,USD
2000-05-25,XOM,41.19,41.28,40.34,40.72,8616200,USD
2000-05-26,XOM,40.84,41.56,40.78,41.19,5940200,USD
2000-05-30,XOM,41.0,41.81,40.91,41.75,10202600,USD
2000-05-31,XOM,41.5,41.94,41.16,41.66,9847400,USD
2000-06-01,XOM,41.78,41.78,40.44,41.47,11889800,USD
2000-06-02,XOM,40.53,40.97,39.31,39.59,18607400,USD
2000-06-05,XOM,39.5,39.88,39.5,39.66,8654600,USD
2000-06-06,XOM,39.5,41.25,39.38,41.16,12141000,USD
2000-06-07,XOM,41.0,41.22,40.44,40.56,9557800,USD
2000-06-08,XOM,40.06,40.31,39.97,40.03,10672600,USD
2000-06-09,XOM,40.0,40.28,39.56,39.59,9388000,USD
2000-06-12,XOM,39.94,40.84,39.94,40.38,11281200,USD
2000-06-13,XOM,40.62,41.0,40.5,40.59,7572800,USD
2000-06-14,XOM,40.97,41.88,40.88,41.31,11066400,USD
2000-06-15,XOM,41.25,41.75,40.88,41.22,11316600,USD
2000-06-16,XOM,41.31,42.19,41.31,42.19,19652200,USD
2000-06-19,XOM,41.97,42.12,41.25,42.03,9028800,USD
2000-06-20,XOM,41.25,41.69,40.88,41.62,8802400,USD
2000-06-21,XOM,41.0,42.22,40.91,41.98,9380800,USD
2000-06-22,XOM,42.19,42.38,41.0,41.34,9388800,USD
2000-06-23,XOM,41.69,41.88,41.34,41.56,5766200,USD
2000-06-26,XOM,41.62,42.09,41.38,41.68,6336400,USD
2000-06-27,XOM,41.72,41.81,40.97,41.03,8157400,USD
2000-06-28,XOM,41.03,41.31,40.78,41.06,7350000,USD
2000-06-29,XOM,40.78,41.0,40.5,40.6,9433000,USD
2000-06-30,XOM,40.34,40.47,38.84,39.25,19917400,USD
2000-07-03,XOM,39.41,39.88,39.38,39.77,8588800,USD
2000-07-05,XOM,39.47,39.47,38.28,38.47,13742200,USD
2000-07-06,XOM,38.88,39.69,38.78,39.09,10957400,USD
2000-07-07,XOM,39.31,39.69,39.0,39.26,9278200,USD
2000-07-10,XOM,39.25,39.59,39.0,39.06,6433000,USD
2000-07-11,XOM,39.06,40.38,39.06,40.28,8869800,USD
2000-07-12,XOM,40.16,40.25,39.3,39.3,7552400,USD
2000-07-13,XOM,39.25,39.31,38.69,39.0,7903800,USD
2000-07-14,XOM,38.72,38.94,38.22,38.78,9968400,USD
2000-07-17,XOM,39.97,39.97,38.88,39.38,10937800,USD
2000-07-18,XOM,39.03,39.47,38.75,39.09,12308800,USD
2000-07-19,XOM,39.31,39.66,39.06,39.34,8619600,USD
2000-07-20,XOM,39.28,39.75,39.0,39.06,7792600,USD
2000-07-21,XOM,39.34,39.38,38.44,38.56,8356400,USD
2000-07-24,XOM,38.5,38.66,37.94,38.62,8316000,USD
2000-07-25,XOM,38.5,38.75,37.56,37.69,11011400,USD
2000-07-26,XOM,38.16,38.44,37.88,38.09,17256400,USD
2000-07-27,XOM,38.5,40.5,38.5,40.25,16787800,USD
2000-07-28,XOM,40.03,40.47,39.81,40.0,7987200,USD
2000-07-31,XOM,40.03,40.56,39.59,40.09,11640600,USD
